type	name	current_hits	commit_count	mech_bucket	sem_class	sem_hit
cmdline_param	-nopriority	1	1	cat1_extractor_miss_candidate	STRING_LITERAL	src/sv_sys_win.c:645
command	addloc	2	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/teamplay_locfiles.c:537
command	bar_armor	1	4	cat1_extractor_miss_candidate	REG_HUD	src/hud_armor.c:269
command	bar_health	1	3	cat1_extractor_miss_candidate	REG_HUD	src/hud_health.c:120
command	clearlocs	2	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/teamplay_locfiles.c:541
command	dir	478	640	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/fs.c:1959
command	fraglogfile	1	2	cat1_extractor_miss_candidate	REG_SV_TABLE	src/sv_ccmds.c:223
command	gamma	28	158	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/host.c:583
command	itemsclock	2	12	cat1_extractor_miss_candidate	REG_HUD	src/hud_common.c:971
command	loadloc	2	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/teamplay_locfiles.c:533
command	loadpak	1	1	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/fs.c:1951
command	locate	15	253	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/fs.c:1961
command	locname	19	8	cat1_extractor_miss_candidate	STRING_LITERAL	src/teamplay_locfiles.c:321
command	logerrors	1	0	cat1_stable_string	REG_SV_TABLE	src/sv_ccmds.c:220
command	logfile	13	9	cat1_extractor_miss_candidate	REG_SV_TABLE	src/sv_ccmds.c:219
command	logplayers	1	0	cat1_stable_string	REG_SV_TABLE	src/sv_ccmds.c:224
command	logrcon	1	0	cat1_stable_string	REG_SV_TABLE	src/sv_ccmds.c:221
command	logtelnet	1	0	cat1_stable_string	REG_SV_TABLE	src/sv_ccmds.c:222
command	modfraglogfile	1	0	cat1_stable_string	REG_SV_TABLE	src/sv_ccmds.c:225
command	mp3_volume	1	9	cat1_extractor_miss_candidate	REG_MACRO	src/macro_ids.h:54
command	netproblem	2	1	cat1_extractor_miss_candidate	REG_HUD	src/hud_net.c:358
command	password	68	49	cat1_extractor_miss_candidate	REG_CVAR_DECL	src/cl_main.c:235
command	path	544	357	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/fs.c:1955
