type	name	current_hits	commit_count	bucket
cmdline_param	-gl-debug	0	3	cat2_removed_stale
cmdline_param	-nomouse	0	6	cat2_removed_stale
cmdline_param	-nopriority	1	1	cat1_extractor_miss_candidate
command	addloc	2	2	cat1_extractor_miss_candidate
command	bar_armor	1	4	cat1_extractor_miss_candidate
command	bar_health	1	3	cat1_extractor_miss_candidate
command	clearlocs	2	2	cat1_extractor_miss_candidate
command	dev_cache_print	0	1	cat2_removed_stale
command	dev_cache_report	0	1	cat2_removed_stale
command	dev_hunk_print	0	1	cat2_removed_stale
command	dir	478	640	cat1_extractor_miss_candidate
command	fraglogfile	1	2	cat1_extractor_miss_candidate
command	gamma	28	158	cat1_extractor_miss_candidate
command	gl_checkmodels	0	3	cat2_removed_stale
command	gl_inferno	0	3	cat2_removed_stale
command	gl_setmode	0	3	cat2_removed_stale
command	in_evdevlist	0	2	cat2_removed_stale
command	itemsclock	2	12	cat1_extractor_miss_candidate
command	legacyquake	0	1	cat2_removed_stale
command	loadfont	0	2	cat2_removed_stale
command	loadloc	2	2	cat1_extractor_miss_candidate
command	loadpak	1	1	cat1_extractor_miss_candidate
command	locate	15	253	cat1_extractor_miss_candidate
command	locname	19	8	cat1_extractor_miss_candidate
command	logerrors	1	0	cat1_stable_string
command	logfile	13	9	cat1_extractor_miss_candidate
command	logplayers	1	0	cat1_stable_string
command	logrcon	1	0	cat1_stable_string
command	logtelnet	1	0	cat1_stable_string
command	menu_fps	0	5	cat2_removed_stale
command	menu_keys	0	5	cat2_removed_stale
command	menu_mp3_control	0	4	cat2_removed_stale
command	menu_mp3_playlist	0	4	cat2_removed_stale
command	menu_setup	0	5	cat2_removed_stale
command	menu_video	0	12	cat2_removed_stale
command	modfraglogfile	1	0	cat1_stable_string
command	mp3_fadeout	0	4	cat2_removed_stale
command	mp3_fforward	0	4	cat2_removed_stale
command	mp3_loadplaylist	0	4	cat2_removed_stale
command	mp3_next	0	4	cat2_removed_stale
command	mp3_pause	0	4	cat2_removed_stale
command	mp3_play	0	29	cat2_removed_stale
command	mp3_playlist	0	12	cat2_removed_stale
command	mp3_playtrack	0	5	cat2_removed_stale
command	mp3_prev	0	4	cat2_removed_stale
command	mp3_repeat	0	4	cat2_removed_stale
command	mp3_rewind	0	4	cat2_removed_stale
command	mp3_shuffle	0	4	cat2_removed_stale
command	mp3_songinfo	0	4	cat2_removed_stale
command	mp3_startwinamp	0	0	cat3_phantom
command	mp3_stop	0	4	cat2_removed_stale
command	mp3_volume	1	9	cat1_extractor_miss_candidate
command	netproblem	2	1	cat1_extractor_miss_candidate
command	password	68	49	cat1_extractor_miss_candidate
command	path	544	357	cat1_extractor_miss_candidate
command	qtv_reconnect	0	0	cat3_phantom
command	radar	12	47	cat1_extractor_miss_candidate
command	removeloc	2	4	cat1_extractor_miss_candidate
command	removepak	1	2	cat1_extractor_miss_candidate
command	saveloc	2	2	cat1_extractor_miss_candidate
command	score_difference	2	2	cat1_extractor_miss_candidate
command	score_enemy	2	1	cat1_extractor_miss_candidate
command	score_own	0	0	cat3_phantom
command	score_position	1	1	cat1_extractor_miss_candidate
command	serverstatus	0	2	cat2_removed_stale
